Year,Revenue,Expenses,Unemployment,CPI,BarrelOil,NetIncome,NetAssets,Contributions,ProgramServices,InvestmentIncome,BondProceeds,Royalties,RentalPropertyIncome,NetFundraising,SalesofAssets,NetInventorySales,OtherRevenue,ExecutiveCompensation,ProfessionalFundraisingFees,OtherSalariesandWages,TotalAssets,TotalLiabilities,NetAssets,StevenCPreston (ChiefExecutiveOfficer),DavidEagles (ChiefOperatingOfficer),MartinScaglione (ChiefMissionOfficer)
2024,92588656,79403516,4,318.99,80.52,13185140,71543655,59460133,30509575,2411331,0,0,-7149,0,163864,0,50902,3044207,60000,17519278,81982129,10438474,71543655,661016,429815,343401
2023,70964985,67699789,3.6,308.379,82.49,3265196,57810203,37920322,30563358,1797387,0,0,156663,0,331250,0,196005,2943112,75000,14440657,67228414,9418211,57810203,632016,332387,331593
2022,61913793,63836428,3.7,294.307,100.93,-1922635,54284446,35637579,25799301,388166,0,0,70974,0,-53934,0,71707,2793500,139100,12008081,67000954,12716508,54284446,600308,315137,313558
2021,66436715,55346277,5.4,277.251,70.86,11090438,57635094,43462789,22465633,216636,0,0,106975,0,170925,0,13757,2693553,75000,9817758,67550943,9915849,57635094,544352,374283,308002
2020,77145526,52306762,8.1,267.71,41.96,24838764,46385330,54802941,21616998,220444,0,0,72530,0,417382,0,15231,1917011,0,9726312,56845919,10460589,46385330,423940,337288,276303
2019,60908886,60671880,3.7,263.213,64.3,237006,23453949,36385512,24092732,284872,0,0,6044,0,66613,0,73113,2110865,0,11756372,32176942,8722993,23453949,440607,280215,248910
2018,58110226,59731817,3.9,257.561,71.34,-1621591,22613609,34391455,23248959,192761,0,0,13244,0,153296,0,110511,2094239,0,12191499,31781931,9168322,22613609,920520,249302,248417
2017,58045952,54824634,4.4,252.153,54.12,3221318,24739907,34573611,23256391,160668,0,0,-10188,0,51684,0,13786,1601752,0,12179484,34308012,9568105,24739907,598300,245797,244991
2016,42532780,44954642,4.9,247.604,43.64,-2421862,20947594,18478914,23948466,195363,0,0,-50925,0,-51774,0,12736,1846955,0,11966582,29242540,8294946,20947594,992120,240462,237910
2015,44941304,45702551,5.3,242.258,52.32,-761247,22987558,20658013,23977463,196047,0,0,-61808,0,126413,0,45176,1533817,0,12496589,32028358,9040800,22987558,585604,235961,223348
2014,42792561,45993524,6.2,237.902,98.97,-3200963,23997981,18926875,23432494,188896,0,0,21173,0,148487,0,74636,1741766,0,12072927,34039625,10041644,23997981,565925,322830,237802
2013,46058697,43065887,7.4,233.81,108.56,2992810,26989661,22891266,22783536,166436,0,0,281,0,27485,0,189693,1498667,0,11067474,35447285,8457624,26989661,533342,307551,225034
2012,50770992,44582888,8.1,229.757,111.57,6188104,23530480,28225490,21836015,199731,0,0,5956,0,498099,0,5701,1437022,0,11093314,31125117,7594637,23530480,,,
2011,52682395,53107982,8.9,225.006,111.26,-425587,17477869,31910626,20352270,152927,0,0,5160,0,249039,0,12373,1797849,0,10253610,25171878,7694009,17477869,,,
