Year,Revenue,Expenses,Unemployment,CPI,BarrelOil,NetAssets
2021,63520825.43,51611981.58,5.7594,274.172,81.92,53421528.43
2012,53969941.94,47051588.82,7.9836,235.852,125,24464419.24
2016,42133803.96,44410996,4.8651,246.144,39.39,21477470.44
2015,42951121.61,45843421.48,5.5301,242.041,53.86,23338562.58
2019,56726751.3,49821256.37,4.3002,266.072,80.1,19195929.36
2013,51068133.02,45532519.86,6.9217,236.148,120.96,27678127.71
2023,62821366.58,61481446.89,3.7196,304.783,53.3,53215158.85
2019,57882861.62,58592174.74,4.0215,260.243,69.95,22567590.45
2011,47967859.04,50007132.41,9.3079,220,106.32,15746633.93
2016,39298751.03,44286451.67,4.8722,250.017,41.02,19615074.21
2017,53436353.19,49484622.64,4.4052,255.772,48.95,22725789.11
2014,41149064.44,47796331.01,6.7064,234.507,92.8,26791413.02
2018,49936448.92,54333898.22,3.3131,255.285,65.5,18972704.05
2014,34418940.26,36044837.87,6.4977,245.665,96.74,18270309.45
2011,52312911.51,55708987.14,8.9692,227.5,112.33,17642696.39
2021,60725693.36,53051542.63,5.4477,275.87,74.41,54829558.2
2017,57245643.8,52958745,4.7894,243.841,62.8,22760572.11
2012,53344000.66,45839687.59,7.7777,229.817,125,23412210.98
2012,46109694.15,42555976.18,8.1528,228.073,121.8,21677501.41
2019,71310864.32,72994206.37,3.7997,261.044,53.73,28136437.13
2023,70964208.78,66232618.86,3.7175,312.127,86.3,61010385.52
2022,56989033.94,56311447.48,3.4388,290.187,95.77,45873048.97
2023,81269615.01,74929665.68,4.0047,305.055,84.68,63653814
2013,37188928.33,36105306.85,7.2099,231.741,99.44,22341600.29
2021,64183617.6,53643115.62,5.7708,279.163,74.26,51029461.14
2014,42113838.11,44268358.22,6.2783,235.027,89.56,23887969.7
2019,53564340.25,55078379.13,3.6983,261.192,63.5,24388024.94
2015,44159186.32,43126444.79,5.4239,241.38,49.29,21409203.85
2023,64789423.82,60116629.04,2.8925,304.45,80.77,48520805.47
2015,47344151.83,47933483.16,5.3452,239.021,41.13,25803497.07
2018,61793217.82,61371035.24,4.7781,260.102,73.11,24920677.26
2015,42260922.39,43915115.06,5.6888,239.422,35.37,19685801.85
2014,39976820.33,40272950.81,6.275,236.028,96.05,21418430.75
2013,55380953.2,48380441.15,7.9061,232.391,119.61,32106366.78
2023,65917248.9,62931184.3,4.2405,309.644,81.27,54376810.33
2022,70992060.95,70959167.91,3.6824,295.728,104.32,57752429.24
2017,54206279.22,51585612.64,4.4997,251.806,58.59,23627092.81
2012,38403810.43,34027465.92,8.1039,226.456,102.59,16904645.49
2016,47365627.16,45656322.52,4.9378,248.184,35,22478940
2017,55876329.43,50251556.21,4.7518,249.801,52.64,20164654.17
2020,64164262.67,44647521.03,7.8946,262.944,40.93,36032468.28
2022,68531542.68,70572864.14,3.2045,290.939,85.55,61955735.88
2022,65967662.06,69693342.09,3.563,293.072,115.6,57714466.28
2013,49119893.51,46386128.15,7.2543,237.027,110.44,30680684.56
2014,48616843.86,52015249.29,5.3638,238.016,97.24,27172425.56
2011,52231918.45,51905719.86,8.1335,220.629,110.51,16002733.53
2018,60566660.41,60875724.35,3.7973,255.69,78.71,21643269.91
2014,43581456.13,49456453.73,6.2682,233.239,93.45,26727038.42
2017,51663205.38,50599952.52,4.6815,250.768,59,23165989.7
2019,54930872.45,54607566.93,3.8383,260.957,64.89,22440987.16
2019,54378075.2,53804493.11,3.874,256.147,64.98,20289643.33
2024,97914045.47,84300070.6,3.8355,314.839,70.17,74079129.8
2024,96553553.57,81209221.13,3.738,321.468,64.81,76644544.17
2021,71307042.79,61639692.14,5.067,278.268,86.65,59713949.84
2016,43923403.58,42919013.24,4.7383,247.252,55.28,18002342.79
2014,39793107.27,46016020.95,6.3157,231.819,117.17,24081093.25
2015,44965809.64,45776774.24,5.781,243.442,58.54,24017996.12
2024,88145729.95,73116070.62,4.2517,316.271,70.63,66620331.39
2022,64644458.66,63928761.71,3.7602,297.952,107.89,50050219
2016,42109537.8,39514678.4,4.8534,245.577,49.09,21576746.87
2019,50788166.7,55672057.36,3.6363,262.539,55.99,19113692.61
2014,45561580.35,47932677.57,6.128,241.676,81.85,24585570.67
2019,65518821.18,63432098.31,3.5741,262.778,72.78,23753088.17
2014,43093229.78,40229249.59,6.4281,235.798,101.06,21459023.46
2021,73911011.35,61814601.97,5.3844,279.794,66.98,62639411.57
2016,47218075.3,51105000.02,4.7295,247.778,38.61,20347905.38
2016,47121868.87,50685873.55,4.8955,246.059,41.74,22985458.22
2024,96412567.09,81768355.09,3.7524,315.472,72.3,73926350.81
2015,49962471.1,54037438.45,5.2573,240.262,48.61,26227687.94
2015,48073492.94,44516853.08,5.6745,242.22,50,22880451.41
2012,50655413.14,48176692.57,8.1314,231.803,125,22954647.66
2018,58925423.04,59022616.98,4.7493,254.403,60.53,21432118.56
2018,61347437.26,60107760.81,3.1693,256.545,70.93,22179889.33
2019,51832841.5,54494248.56,3.5612,265.496,54.34,22337110.19
2015,46039112.11,45450821.25,5.6105,238.937,60.31,26531746.22
